"nivel2","nivel1","label1","label2"
"11","1","Eficiência Energética","Tecnologias de Eficiência Energética aplicadas à Industria"
"12","1","Eficiência Energética","Tecnologias de Eficiência Energética aplicada a residências e estabelecimentos comerciais"
"13","1","Eficiência Energética","Tecnologias de Eficiência Energética aplicadas ao setor de transportes"
"14","1","Eficiência Energética","Outras Tecnologias de Eficiência Energética"
"31","3","Fontes de Energia Renováveis","Energia solar"
"32","3","Fontes de Energia Renováveis","Energia Eólica"
"33","3","Fontes de Energia Renováveis","Energia dos Oceanos"
"34","3","Fontes de Energia Renováveis","Biocombustíveis"
"35","3","Fontes de Energia Renováveis","Energia Geotérmica"
"36","3","Fontes de Energia Renováveis","Hidroeletricidade"
"41","4","Fissão e Fusão Nuclear","Fissão Nuclear"
"42","4","Fissão e Fusão Nuclear","Fusão Nuclear"
"49","4","Fissão e Fusão Nuclear","Outros fusão e fissão não alocados"
"52","5","Hidrogênio e Células a Combustível","Células a Combustível"
"61","6","Outras Tecnologias de Geração e Armazenamento de Energia","Geração de energia elétrica"
"63","6","Outras Tecnologias de Geração e Armazenamento de Energia","Armazenamento de Energia"
